num_requested	order	tree_oscore	idea_oscore
5.0	1	0.97904888593282346	0.99434652477552377
5.0	0	0.96441636182241441	0.97904888593282346
5.0	1	0.94346524775523777	0.99168606584635854
5.0	2	0.99401396740937809	0.99534419687396081
5.0	4	0.97805121383438642	0.9936814100432324
5.0	3	0.99733954107083467	0.99933488526770864
5.0	0	0.96441636182241441	0.97904888593282346
5.0	2	0.94346524775523777	0.99168606584635854
5.0	4	0.96940472231459929	0.98969072164948457
5.0	3	0.97006983704689054	0.99866977053541739
5.0	1	0.96441636182241441	0.99900232790156307
5.0	4	0.96441636182241441	0.97904888593282346
5.0	2	0.97339541070834723	0.98071167276355176
5.0	3	0.98570003325573663	0.99401396740937809
5.0	0	0.99833721316927171	0.99933488526770864
5.0	1	0.9461257066844031	0.99966744263385432
5.0	0	0.96441636182241441	0.97904888593282346
5.0	3	0.98570003325573663	0.99467908214166945
5.0	1	0.99168606584635854	0.99966744263385432
5.0	2	0.99966744263385432	0.99966744263385432
5.0	4	0.96940472231459929	0.99966744263385432
20.0	4	0.96441636182241441	0.97904888593282346
20.0	5	0.96441636182241441	0.97904888593282346
20.0	3	0.94346524775523777	0.98570003325573663
20.0	0	0.98570003325573663	0.99401396740937809
20.0	2	0.99567675424010638	0.99567675424010638
20.0	16	0.99301629531094115	0.99301629531094115
20.0	15	0.98503491852344527	0.99667442633854342
20.0	13	0.967741935483871	0.99434652477552377
20.0	9	0.97805121383438642	0.99634186897239774
20.0	17	0.98237445959428005	0.99733954107083467
20.0	19	0.98436980379115402	0.99634186897239774
20.0	14	0.98503491852344527	0.99833721316927171
20.0	12	0.967741935483871	0.99900232790156307
20.0	6	0.98436980379115402	0.99900232790156307
20.0	1	0.99634186897239774	0.99933488526770864
20.0	10	0.967741935483871	0.99900232790156307
20.0	7	0.98436980379115402	0.99966744263385432
20.0	8	0.98669770535417356	0.99966744263385432
20.0	11	0.99966744263385432	0.99966744263385432
20.0	18	0.98436980379115402	0.99933488526770864
10.0	0	0.96441636182241441	0.97904888593282346
10.0	2	0.98237445959428005	0.99268373794479547
10.0	3	0.94346524775523777	0.99800465580312603
10.0	1	0.99933488526770864	0.99933488526770864
10.0	4	0.99534419687396081	0.99900232790156307
10.0	7	0.99800465580312603	0.99933488526770864
10.0	6	0.99800465580312603	0.99933488526770864
10.0	5	0.99866977053541739	0.99966744263385432
10.0	8	0.99800465580312603	0.99966744263385432
10.0	9	0.99534419687396081	0.99966744263385432
10.0	1	0.96441636182241441	0.97904888593282346
10.0	2	0.96441636182241441	0.97904888593282346
10.0	9	0.94346524775523777	0.99168606584635854
10.0	4	0.99401396740937809	0.99833721316927171
10.0	0	0.96441636182241441	0.99733954107083467
10.0	6	0.99168606584635854	0.99933488526770864
10.0	8	0.96441636182241441	0.99933488526770864
10.0	3	0.96441636182241441	0.99933488526770864
10.0	5	0.99301629531094115	0.99933488526770864
10.0	7	0.99301629531094115	0.99966744263385432
10.0	1	0.96441636182241441	0.97904888593282346
10.0	3	0.95876288659793818	0.98802793481875628
10.0	8	0.99135350848021286	0.99268373794479547
10.0	5	0.97904888593282346	0.99434652477552377
10.0	2	0.967741935483871	0.99434652477552377
10.0	0	0.99600931160625206	0.99933488526770864
10.0	4	0.99866977053541739	0.99933488526770864
10.0	6	0.97006983704689054	0.99933488526770864
10.0	7	0.99933488526770864	0.99966744263385432
10.0	9	0.96009311606252079	0.99966744263385432
10.0	0	0.96441636182241441	0.97904888593282346
10.0	3	0.95743265713335546	0.98669770535417356
10.0	6	0.9461257066844031	0.99301629531094115
10.0	2	0.97805121383438642	0.9936814100432324
10.0	7	0.97805121383438642	0.99401396740937809
10.0	4	0.95743265713335546	0.99501163950781513
10.0	5	0.97339541070834723	0.99866977053541739
10.0	1	0.97805121383438642	0.99966744263385432
10.0	3	0.96441636182241441	0.97904888593282346
10.0	8	0.94346524775523777	0.98570003325573663
10.0	0	0.99135350848021286	0.99268373794479547
10.0	2	0.98370468905886266	0.98736282008646492
10.0	1	0.98204190222813437	0.99634186897239774
10.0	6	0.98204190222813437	0.99933488526770864
10.0	7	0.95743265713335546	0.99833721316927171
10.0	9	0.94346524775523777	0.99900232790156307
10.0	4	0.9461257066844031	0.99966744263385432
10.0	5	0.99866977053541739	0.99966744263385432
20.0	13	0.96441636182241441	0.97904888593282346
20.0	1	0.97339541070834723	0.98071167276355176
20.0	2	0.95743265713335546	0.98669770535417356
20.0	4	0.9737279680744928	0.9970069837046891
20.0	5	0.97805121383438642	0.99401396740937809
20.0	12	0.97805121383438642	0.99401396740937809
20.0	8	0.95743265713335546	0.99501163950781513
20.0	9	0.95743265713335546	0.99833721316927171
20.0	6	0.9461257066844031	0.99634186897239774
20.0	3	0.9737279680744928	0.99833721316927171
20.0	18	0.99600931160625206	0.99600931160625206
20.0	14	0.96441636182241441	0.99900232790156307
20.0	0	0.9461257066844031	0.99833721316927171
20.0	10	0.95743265713335546	0.99933488526770864
20.0	17	0.99600931160625206	0.99900232790156307
20.0	11	0.97805121383438642	0.99900232790156307
20.0	7	0.97805121383438642	0.99966744263385432
20.0	15	0.99401396740937809	0.99966744263385432
20.0	16	0.99966744263385432	0.99966744263385432
20.0	19	0.99235118057864979	0.99966744263385432
5.0	4	0.96441636182241441	0.97904888593282346
5.0	0	0.96940472231459929	0.99933488526770864
5.0	1	0.98370468905886266	0.99966744263385432
5.0	2	0.97805121383438642	0.99966744263385432
5.0	3	0.99534419687396081	0.99966744263385432
20.0	19	0.99434652477552377	0.99800465580312603
20.0	6	0.94346524775523777	0.99733954107083467
20.0	0	0.95743265713335546	0.98669770535417356
20.0	11	0.95743265713335546	0.98669770535417356
20.0	12	0.99235118057864979	0.99767209843698035
20.0	7	0.98570003325573663	0.99467908214166945
20.0	1	0.94346524775523777	0.99933488526770864
20.0	2	0.94346524775523777	0.99966744263385432
20.0	3	0.9461257066844031	0.99933488526770864
20.0	4	0.94346524775523777	0.99800465580312603
20.0	5	0.94346524775523777	0.99966744263385432
20.0	8	0.94346524775523777	0.99966744263385432
20.0	9	0.99501163950781513	0.99567675424010638
20.0	10	0.94346524775523777	0.99634186897239774
20.0	13	0.9461257066844031	0.99933488526770864
20.0	14	0.99966744263385432	0.99966744263385432
20.0	15	0.99866977053541739	0.99933488526770864
20.0	16	0.99401396740937809	0.99966744263385432
20.0	17	0.99667442633854342	0.99966744263385432
20.0	18	0.99634186897239774	0.99667442633854342
20.0	3	0.96009311606252079	0.99767209843698035
20.0	2	0.94346524775523777	0.98570003325573663
20.0	8	0.94346524775523777	0.99733954107083467
20.0	18	0.95876288659793818	0.98802793481875628
20.0	4	0.97339541070834723	0.98071167276355176
20.0	11	0.99401396740937809	0.99534419687396081
20.0	17	0.99800465580312603	0.99866977053541739
20.0	5	0.95743265713335546	0.99035583638177582
20.0	12	0.9737279680744928	0.9970069837046891
20.0	1	0.97805121383438642	0.99634186897239774
20.0	6	0.95743265713335546	0.99501163950781513
20.0	0	0.97339541070834723	0.99966744263385432
20.0	7	0.9461257066844031	0.99634186897239774
20.0	9	0.94346524775523777	0.99933488526770864
20.0	10	0.94346524775523777	0.99933488526770864
20.0	13	0.9737279680744928	0.99833721316927171
20.0	14	0.98503491852344527	0.99900232790156307
20.0	15	0.98503491852344527	0.99966744263385432
20.0	16	0.99467908214166945	0.99733954107083467
20.0	19	0.99966744263385432	0.99966744263385432
100.0	11	0.94346524775523777	0.99168606584635854
100.0	5	0.94346524775523777	0.98570003325573663
100.0	19	0.99634186897239774	0.99667442633854342
100.0	16	0.9461257066844031	0.99900232790156307
100.0	18	0.99600931160625206	0.99600931160625206
100.0	0	0.94346524775523777	0.99933488526770864
100.0	17	0.9461257066844031	0.99833721316927171
100.0	1	0.94346524775523777	0.99966744263385432
100.0	2	0.94346524775523777	0.99966744263385432
100.0	3	0.94346524775523777	0.99933488526770864
100.0	7	0.94346524775523777	0.99933488526770864
100.0	4	0.99933488526770864	0.99933488526770864
100.0	6	0.94346524775523777	0.99933488526770864
100.0	8	0.94346524775523777	0.99966744263385432
100.0	9	0.94346524775523777	0.99966744263385432
100.0	10	0.94346524775523777	0.99966744263385432
100.0	12	0.94346524775523777	0.99966744263385432
100.0	13	0.94346524775523777	0.99966744263385432
100.0	14	0.94346524775523777	0.99966744263385432
100.0	15	0.9461257066844031	0.99966744263385432
5.0	2	0.94346524775523777	0.99168606584635854
5.0	1	0.99501163950781513	0.99833721316927171
5.0	0	0.98237445959428005	0.99268373794479547
5.0	3	0.98370468905886266	0.98736282008646492
5.0	4	0.95876288659793818	0.99900232790156307
10.0	8	0.94346524775523777	0.99168606584635854
10.0	0	0.94346524775523777	0.98570003325573663
10.0	9	0.94346524775523777	0.99733954107083467
10.0	1	0.96940472231459929	0.98969072164948457
10.0	3	0.98370468905886266	0.98736282008646492
10.0	2	0.99600931160625206	0.99634186897239774
10.0	5	0.9906883937479215	0.9906883937479215
10.0	6	0.9906883937479215	0.9906883937479215
10.0	7	0.9906883937479215	0.9906883937479215
10.0	4	0.9461257066844031	0.99900232790156307
10.0	1	0.94346524775523777	0.99168606584635854
10.0	5	0.95743265713335546	0.98669770535417356
10.0	6	0.99235118057864979	0.99767209843698035
10.0	7	0.95743265713335546	0.99035583638177582
10.0	4	0.97805121383438642	0.99634186897239774
10.0	8	0.99767209843698035	0.99833721316927171
10.0	0	0.94346524775523777	0.99800465580312603
10.0	9	0.99401396740937809	0.99833721316927171
10.0	3	0.99733954107083467	0.99800465580312603
10.0	2	0.94346524775523777	0.99966744263385432
5.0	1	0.94346524775523777	0.99168606584635854
5.0	0	0.96009311606252079	0.99800465580312603
5.0	3	0.96009311606252079	0.99866977053541739
5.0	2	0.94346524775523777	0.99966744263385432
5.0	4	0.99966744263385432	0.99966744263385432
5.0	1	0.94346524775523777	0.99168606584635854
5.0	0	0.95743265713335546	0.99035583638177582
5.0	4	0.95743265713335546	0.99501163950781513
5.0	2	0.96441636182241441	0.99933488526770864
5.0	3	0.99933488526770864	0.99966744263385432
5.0	0	0.94346524775523777	0.98570003325573663
5.0	1	0.96441636182241441	0.99833721316927171
5.0	2	0.9461257066844031	0.99900232790156307
5.0	2	0.94346524775523777	0.98570003325573663
5.0	3	0.99600931160625206	0.99900232790156307
5.0	0	0.97339541070834723	0.99933488526770864
5.0	1	0.99933488526770864	0.99966744263385432
5.0	4	0.99833721316927171	0.99966744263385432
10.0	4	0.94346524775523777	0.98570003325573663
10.0	8	0.99501163950781513	0.99833721316927171
10.0	1	0.97339541070834723	0.98071167276355176
10.0	7	0.99401396740937809	0.99900232790156307
10.0	2	0.98570003325573663	0.99467908214166945
10.0	3	0.99600931160625206	0.99634186897239774
10.0	9	0.99501163950781513	0.99933488526770864
10.0	0	0.9461257066844031	0.99833721316927171
10.0	5	0.99866977053541739	0.99933488526770864
10.0	6	0.99966744263385432	0.99966744263385432
5.0	4	0.94346524775523777	0.98570003325573663
5.0	1	0.967741935483871	0.99434652477552377
5.0	0	0.96009311606252079	0.99733954107083467
5.0	3	0.99866977053541739	0.99933488526770864
5.0	2	0.98503491852344527	0.99966744263385432
5.0	2	0.94346524775523777	0.98570003325573663
5.0	4	0.95743265713335546	0.99035583638177582
5.0	1	0.98370468905886266	0.98736282008646492
5.0	0	0.98570003325573663	0.99467908214166945
5.0	3	0.99966744263385432	0.99966744263385432
5.0	3	0.94346524775523777	0.98570003325573663
5.0	4	0.98237445959428005	0.99268373794479547
5.0	0	0.98237445959428005	0.99733954107083467
5.0	1	0.99733954107083467	0.99866977053541739
5.0	2	0.99600931160625206	0.99900232790156307
5.0	1	0.94346524775523777	0.98570003325573663
5.0	4	0.94346524775523777	0.98570003325573663
5.0	0	0.9461257066844031	0.99301629531094115
5.0	3	0.9461257066844031	0.99833721316927171
5.0	2	0.96441636182241441	0.99933488526770864
20.0	13	0.94346524775523777	0.98570003325573663
20.0	18	0.96940472231459929	0.98969072164948457
20.0	5	0.98370468905886266	0.98736282008646492
20.0	19	0.95743265713335546	0.99501163950781513
20.0	3	0.94346524775523777	0.99933488526770864
20.0	7	0.9461257066844031	0.99833721316927171
20.0	1	0.9461257066844031	0.9970069837046891
20.0	14	0.9461257066844031	0.99634186897239774
20.0	10	0.9461257066844031	0.99833721316927171
20.0	17	0.9461257066844031	0.99833721316927171
20.0	6	0.97805121383438642	0.99900232790156307
20.0	0	0.99168606584635854	0.99933488526770864
20.0	12	0.99168606584635854	0.99933488526770864
20.0	2	0.99168606584635854	0.99966744263385432
20.0	4	0.99301629531094115	0.99966744263385432
20.0	8	0.99866977053541739	0.99933488526770864
20.0	9	0.99866977053541739	0.99933488526770864
20.0	11	0.94346524775523777	0.99966744263385432
20.0	15	0.9461257066844031	0.99933488526770864
20.0	16	0.9461257066844031	0.99933488526770864
10.0	7	0.94346524775523777	0.98570003325573663
10.0	6	0.98237445959428005	0.99268373794479547
10.0	3	0.99900232790156307	0.99900232790156307
10.0	4	0.99833721316927171	0.99833721316927171
10.0	5	0.99168606584635854	0.99900232790156307
10.0	1	0.99301629531094115	0.99933488526770864
10.0	2	0.99900232790156307	0.99933488526770864
10.0	9	0.99933488526770864	0.99933488526770864
10.0	0	0.99168606584635854	0.99966744263385432
10.0	8	0.99900232790156307	0.99966744263385432
50.0	35	0.99733954107083467	0.99933488526770864
50.0	46	0.95876288659793818	0.98802793481875628
50.0	21	0.95743265713335546	0.98669770535417356
50.0	22	0.95743265713335546	0.98669770535417356
50.0	32	0.95743265713335546	0.98669770535417356
50.0	48	0.95743265713335546	0.98669770535417356
50.0	49	0.95743265713335546	0.98669770535417356
50.0	5	0.99634186897239774	0.99800465580312603
50.0	37	0.99634186897239774	0.99800465580312603
50.0	7	0.97805121383438642	0.9936814100432324
50.0	4	0.9461257066844031	0.99634186897239774
50.0	19	0.98370468905886266	0.98736282008646492
50.0	0	0.98669770535417356	0.99667442633854342
50.0	6	0.98570003325573663	0.99467908214166945
50.0	47	0.95876288659793818	0.99600931160625206
50.0	18	0.98669770535417356	0.99800465580312603
50.0	20	0.97805121383438642	0.99634186897239774
50.0	11	0.99567675424010638	0.99567675424010638
50.0	31	0.95743265713335546	0.99501163950781513
50.0	8	0.9906883937479215	0.9906883937479215
50.0	9	0.9906883937479215	0.9906883937479215
50.0	10	0.9906883937479215	0.9906883937479215
50.0	33	0.95743265713335546	0.99833721316927171
50.0	27	0.99235118057864979	0.99933488526770864
50.0	13	0.9461257066844031	0.99833721316927171
50.0	2	0.9461257066844031	0.99634186897239774
50.0	30	0.9461257066844031	0.99833721316927171
50.0	28	0.99235118057864979	0.99833721316927171
50.0	1	0.9461257066844031	0.99833721316927171
50.0	23	0.99600931160625206	0.99933488526770864
50.0	3	0.9461257066844031	0.99933488526770864
50.0	44	0.9461257066844031	0.99900232790156307
50.0	14	0.95743265713335546	0.99833721316927171
50.0	12	0.99966744263385432	0.99966744263385432
50.0	15	0.94346524775523777	0.99966744263385432
50.0	16	0.99634186897239774	0.99966744263385432
50.0	17	0.99966744263385432	0.99966744263385432
50.0	24	0.98669770535417356	0.99966744263385432
50.0	25	0.99600931160625206	0.99966744263385432
50.0	26	0.99966744263385432	0.99966744263385432
50.0	29	0.97904888593282346	0.99966744263385432
50.0	34	0.99235118057864979	0.99966744263385432
50.0	36	0.99634186897239774	0.99966744263385432
50.0	38	0.99634186897239774	0.99966744263385432
50.0	39	0.99966744263385432	0.99966744263385432
50.0	40	0.99800465580312603	0.99966744263385432
50.0	41	0.95743265713335546	0.99966744263385432
50.0	42	0.99966744263385432	0.99966744263385432
50.0	43	0.95743265713335546	0.99966744263385432
50.0	45	0.9461257066844031	0.99966744263385432
10.0	6	0.94346524775523777	0.99866977053541739
10.0	2	0.95876288659793818	0.98802793481875628
10.0	4	0.96940472231459929	0.98969072164948457
10.0	5	0.99467908214166945	0.99567675424010638
10.0	3	0.9461257066844031	0.9970069837046891
10.0	0	0.95876288659793818	0.99966744263385432
10.0	1	0.97339541070834723	0.99966744263385432
10.0	7	0.98570003325573663	0.99866977053541739
10.0	8	0.97805121383438642	0.99966744263385432
10.0	9	0.99733954107083467	0.99800465580312603
5.0	3	0.94346524775523777	0.99866977053541739
5.0	2	0.97805121383438642	0.9936814100432324
5.0	4	0.94346524775523777	0.99933488526770864
5.0	0	0.94346524775523777	0.99966744263385432
5.0	1	0.99933488526770864	0.99933488526770864
5.0	1	0.95876288659793818	0.98802793481875628
5.0	0	0.98370468905886266	0.98736282008646492
5.0	4	0.9461257066844031	0.99900232790156307
5.0	2	0.99966744263385432	0.99966744263385432
5.0	3	0.97805121383438642	0.99966744263385432
75.0	2	0.95876288659793818	0.98802793481875628
75.0	8	0.97339541070834723	0.98071167276355176
75.0	12	0.95743265713335546	0.98669770535417356
75.0	1	0.98570003325573663	0.99401396740937809
75.0	4	0.99467908214166945	0.99567675424010638
75.0	11	0.97805121383438642	0.9936814100432324
75.0	19	0.99767209843698035	0.99767209843698035
75.0	9	0.98370468905886266	0.99866977053541739
75.0	14	0.96940472231459929	0.99800465580312603
75.0	0	0.967741935483871	0.99966744263385432
75.0	3	0.99966744263385432	0.99966744263385432
75.0	5	0.96441636182241441	0.99966744263385432
75.0	6	0.94346524775523777	0.99966744263385432
75.0	7	0.94346524775523777	0.99966744263385432
75.0	10	0.99434652477552377	0.99966744263385432
75.0	13	0.96940472231459929	0.99966744263385432
75.0	15	0.94346524775523777	0.99966744263385432
75.0	16	0.94346524775523777	0.99966744263385432
75.0	17	0.98503491852344527	0.99966744263385432
75.0	18	0.98204190222813437	0.99933488526770864
75.0	20	0.97339541070834723	0.99833721316927171
10.0	2	0.95876288659793818	0.98802793481875628
10.0	4	0.98237445959428005	0.99268373794479547
10.0	3	0.98570003325573663	0.99467908214166945
10.0	7	0.99301629531094115	0.99733954107083467
10.0	1	0.97339541070834723	0.99933488526770864
10.0	0	0.99767209843698035	0.99966744263385432
10.0	5	0.99866977053541739	0.99966744263385432
10.0	6	0.99966744263385432	0.99966744263385432
10.0	8	0.98370468905886266	0.99966744263385432
10.0	9	0.99833721316927171	0.99966744263385432
5.0	2	0.95876288659793818	0.98802793481875628
5.0	4	0.95876288659793818	0.98802793481875628
5.0	1	0.94346524775523777	0.99933488526770864
5.0	0	0.94346524775523777	0.99634186897239774
5.0	3	0.95876288659793818	0.99866977053541739
10.0	5	0.95876288659793818	0.98802793481875628
10.0	2	0.96940472231459929	0.98969072164948457
10.0	0	0.98370468905886266	0.98736282008646492
10.0	7	0.99600931160625206	0.99634186897239774
10.0	3	0.97805121383438642	0.99401396740937809
10.0	8	0.9737279680744928	0.99833721316927171
10.0	1	0.9461257066844031	0.9970069837046891
10.0	9	0.9737279680744928	0.9970069837046891
10.0	4	0.95743265713335546	0.99866977053541739
10.0	6	0.99966744263385432	0.99966744263385432
10.0	0	0.95876288659793818	0.98802793481875628
10.0	1	0.99567675424010638	0.99567675424010638
10.0	2	0.99567675424010638	0.99767209843698035
20.0	0	0.97339541070834723	0.98071167276355176
20.0	7	0.97339541070834723	0.98071167276355176
20.0	3	0.9461257066844031	0.99301629531094115
20.0	1	0.96940472231459929	0.98969072164948457
20.0	11	0.99002327901563014	0.99168606584635854
20.0	2	0.97805121383438642	0.9936814100432324
20.0	4	0.95743265713335546	0.99966744263385432
20.0	5	0.99235118057864979	0.99966744263385432
20.0	6	0.95743265713335546	0.99966744263385432
20.0	8	0.95743265713335546	0.99035583638177582
20.0	9	0.9461257066844031	0.99634186897239774
20.0	10	0.96940472231459929	0.99900232790156307
20.0	12	0.98370468905886266	0.98736282008646492
20.0	13	0.95743265713335546	0.99966744263385432
20.0	14	0.99966744263385432	0.99966744263385432
20.0	15	0.98669770535417356	0.99667442633854342
20.0	16	0.98570003325573663	0.99467908214166945
20.0	17	0.98204190222813437	0.99933488526770864
20.0	18	0.97339541070834723	0.99966744263385432
20.0	19	0.98503491852344527	0.99667442633854342
5.0	0	0.97339541070834723	0.98071167276355176
5.0	1	0.97805121383438642	0.9936814100432324
5.0	4	0.9737279680744928	0.9970069837046891
5.0	3	0.97805121383438642	0.99401396740937809
5.0	2	0.99235118057864979	0.99966744263385432
5.0	0	0.97339541070834723	0.98071167276355176
5.0	2	0.97339541070834723	0.98071167276355176
5.0	3	0.95743265713335546	0.98669770535417356
5.0	4	0.9737279680744928	0.99833721316927171
5.0	1	0.99933488526770864	0.99933488526770864
100.0	1	0.97339541070834723	0.98071167276355176
100.0	16	0.97339541070834723	0.98071167276355176
100.0	30	0.97339541070834723	0.98071167276355176
100.0	24	0.9800465580312604	0.99600931160625206
100.0	11	0.96940472231459929	0.98969072164948457
100.0	32	0.96940472231459929	0.98969072164948457
100.0	10	0.99135350848021286	0.99268373794479547
100.0	5	0.97805121383438642	0.9936814100432324
100.0	23	0.97805121383438642	0.9936814100432324
100.0	12	0.9461257066844031	0.99634186897239774
100.0	4	0.98370468905886266	0.98736282008646492
100.0	3	0.98436980379115402	0.99833721316927171
100.0	19	0.97805121383438642	0.99634186897239774
100.0	8	0.9906883937479215	0.9906883937479215
100.0	9	0.9906883937479215	0.9906883937479215
100.0	17	0.9906883937479215	0.9906883937479215
100.0	33	0.9906883937479215	0.9906883937479215
100.0	18	0.99467908214166945	0.99733954107083467
100.0	27	0.99833721316927171	0.99833721316927171
100.0	0	0.9461257066844031	0.9970069837046891
100.0	6	0.9461257066844031	0.99634186897239774
100.0	15	0.99634186897239774	0.99800465580312603
100.0	29	0.99634186897239774	0.99800465580312603
100.0	20	0.99634186897239774	0.99866977053541739
100.0	2	0.99235118057864979	0.99866977053541739
100.0	7	0.9461257066844031	0.99933488526770864
100.0	13	0.99467908214166945	0.99966744263385432
100.0	14	0.99467908214166945	0.99966744263385432
100.0	21	0.99634186897239774	0.99966744263385432
100.0	22	0.95743265713335546	0.99833721316927171
100.0	25	0.9461257066844031	0.99833721316927171
100.0	26	0.98570003325573663	0.99866977053541739
100.0	28	0.99966744263385432	0.99966744263385432
100.0	31	0.9461257066844031	0.99933488526770864
100.0	34	0.967741935483871	0.99966744263385432
10.0	1	0.97339541070834723	0.98071167276355176
10.0	4	0.97805121383438642	0.9936814100432324
10.0	0	0.97805121383438642	0.99966744263385432
10.0	2	0.94346524775523777	0.99966744263385432
10.0	3	0.97805121383438642	0.99966744263385432
5.0	0	0.97339541070834723	0.98071167276355176
5.0	3	0.95743265713335546	0.98669770535417356
5.0	1	0.98370468905886266	0.98736282008646492
5.0	4	0.99501163950781513	0.99567675424010638
5.0	2	0.94346524775523777	0.99634186897239774
5.0	0	0.97339541070834723	0.98071167276355176
5.0	1	0.95743265713335546	0.98669770535417356
5.0	3	0.97805121383438642	0.99401396740937809
5.0	2	0.9461257066844031	0.99634186897239774
5.0	4	0.9737279680744928	0.99866977053541739
5.0	0	0.97339541070834723	0.98071167276355176
5.0	1	0.94346524775523777	0.99866977053541739
5.0	3	0.99434652477552377	0.99900232790156307
5.0	4	0.94346524775523777	0.99900232790156307
5.0	2	0.96441636182241441	0.99966744263385432
5.0	2	0.97339541070834723	0.98071167276355176
5.0	1	0.95743265713335546	0.99035583638177582
5.0	0	0.98370468905886266	0.98736282008646492
5.0	3	0.97805121383438642	0.99401396740937809
5.0	4	0.98570003325573663	0.99866977053541739
5.0	3	0.97339541070834723	0.98071167276355176
5.0	1	0.9461257066844031	0.99634186897239774
5.0	4	0.98370468905886266	0.98736282008646492
5.0	0	0.9461257066844031	0.9970069837046891
5.0	2	0.9461257066844031	0.99966744263385432
5.0	2	0.95743265713335546	0.98669770535417356
5.0	3	0.97805121383438642	0.99401396740937809
5.0	0	0.94346524775523777	0.99634186897239774
5.0	1	0.96441636182241441	0.99733954107083467
5.0	4	0.99235118057864979	0.99833721316927171
10.0	0	0.95743265713335546	0.98669770535417356
10.0	8	0.98570003325573663	0.99401396740937809
10.0	9	0.97805121383438642	0.9936814100432324
10.0	2	0.95743265713335546	0.99035583638177582
10.0	1	0.95743265713335546	0.99501163950781513
10.0	3	0.99501163950781513	0.99567675424010638
10.0	4	0.99600931160625206	0.99966744263385432
10.0	5	0.97805121383438642	0.99966744263385432
10.0	6	0.98503491852344527	0.99933488526770864
10.0	7	0.98503491852344527	0.99933488526770864
5.0	1	0.95743265713335546	0.98669770535417356
5.0	3	0.98570003325573663	0.99401396740937809
5.0	4	0.9461257066844031	0.99301629531094115
5.0	2	0.95743265713335546	0.99035583638177582
5.0	0	0.97904888593282346	0.99434652477552377
5.0	1	0.95743265713335546	0.98669770535417356
5.0	0	0.98370468905886266	0.98736282008646492
5.0	2	0.96441636182241441	0.99733954107083467
5.0	3	0.99966744263385432	0.99966744263385432
5.0	4	0.99966744263385432	0.99966744263385432
5.0	1	0.95743265713335546	0.98669770535417356
5.0	3	0.99800465580312603	0.99866977053541739
5.0	2	0.95743265713335546	0.99035583638177582
5.0	4	0.97904888593282346	0.99434652477552377
5.0	0	0.95743265713335546	0.99501163950781513
10.0	0	0.95743265713335546	0.98669770535417356
10.0	5	0.99567675424010638	0.99567675424010638
10.0	4	0.94346524775523777	0.99634186897239774
10.0	2	0.99933488526770864	0.99933488526770864
10.0	1	0.9800465580312604	0.99966744263385432
10.0	3	0.99866977053541739	0.99966744263385432
5.0	4	0.9461257066844031	0.99301629531094115
5.0	1	0.96940472231459929	0.98969072164948457
5.0	0	0.98570003325573663	0.99866977053541739
5.0	2	0.99235118057864979	0.99866977053541739
5.0	3	0.99501163950781513	0.99966744263385432
5.0	1	0.9461257066844031	0.99301629531094115
5.0	0	0.95743265713335546	0.99035583638177582
5.0	2	0.98370468905886266	0.98736282008646492
5.0	3	0.9737279680744928	0.9970069837046891
5.0	4	0.99800465580312603	0.99966744263385432
20.0	16	0.9461257066844031	0.99301629531094115
20.0	17	0.9461257066844031	0.99301629531094115
20.0	15	0.9461257066844031	0.99634186897239774
20.0	0	0.98370468905886266	0.98736282008646492
20.0	1	0.98370468905886266	0.98736282008646492
20.0	2	0.98370468905886266	0.98736282008646492
20.0	5	0.98370468905886266	0.98736282008646492
20.0	6	0.98370468905886266	0.98736282008646492
20.0	14	0.9461257066844031	0.99634186897239774
20.0	7	0.98370468905886266	0.99866977053541739
20.0	12	0.98370468905886266	0.99866977053541739
20.0	9	0.9461257066844031	0.99900232790156307
20.0	4	0.97339541070834723	0.99833721316927171
20.0	11	0.99534419687396081	0.99900232790156307
20.0	18	0.95743265713335546	0.99833721316927171
20.0	13	0.97339541070834723	0.99866977053541739
20.0	3	0.9461257066844031	0.99966744263385432
20.0	8	0.99600931160625206	0.99966744263385432
20.0	10	0.99900232790156307	0.99966744263385432
20.0	19	0.99667442633854342	0.99966744263385432
5.0	0	0.96940472231459929	0.98969072164948457
5.0	1	0.97904888593282346	0.99434652477552377
5.0	3	0.9876953774526106	0.99933488526770864
5.0	2	0.99966744263385432	0.99966744263385432
5.0	4	0.97339541070834723	0.99966744263385432
20.0	5	0.96940472231459929	0.98969072164948457
20.0	14	0.99002327901563014	0.99168606584635854
20.0	18	0.99135350848021286	0.99268373794479547
20.0	3	0.98570003325573663	0.99467908214166945
20.0	7	0.967741935483871	0.99767209843698035
20.0	2	0.9461257066844031	0.99634186897239774
20.0	1	0.9461257066844031	0.99866977053541739
20.0	8	0.98237445959428005	0.99866977053541739
20.0	11	0.99800465580312603	0.99866977053541739
20.0	15	0.9737279680744928	0.99933488526770864
20.0	16	0.98436980379115402	0.99933488526770864
20.0	0	0.9461257066844031	0.99966744263385432
20.0	4	0.97339541070834723	0.99966744263385432
20.0	6	0.99235118057864979	0.99966744263385432
20.0	9	0.99534419687396081	0.99966744263385432
20.0	10	0.99966744263385432	0.99966744263385432
20.0	12	0.96009311606252079	0.99933488526770864
20.0	13	0.97904888593282346	0.99966744263385432
20.0	17	0.96940472231459929	0.99966744263385432
20.0	19	0.95876288659793818	0.99966744263385432
